267,39,137
267,39,153
161,99,141
161,99,153
161,99,201
161,99,393
9,183,363
67,137,38
67,137,50
33,41,155
147,33,73
147,33,80
147,33,136
41,57,57
9,0,0
9,0,3
9,0,9
9,0,33
9,0,129
73,35,140
73,35,392
41,80,161
129,139,295
99,393,131
160,3,143
160,3,271
160,3,301
160,3,391
160,3,395
489,179,9
15,143,259
15,143,291
129,161,107
203,167,265
168,67,165
168,67,417
385,451,163
385,451,419
25,49,105
49,139,271
49,139,391
57,59,13
57,59,141
47,143,259
105,179,265
105,179,393
49,155,301
301,59,25
131,161,105
203,289,130
417,137,38
417,137,50
271,137,34
256,9,63
256,9,183
41,179,361
225,225,97
225,225,161
225,225,193
225,225,225
145,419,451
135,259,385
138,37,27
138,37,75
393,291,131
181,193,35
419,129,64
419,129,256
419,129,320
3,11,173
249,33,0
249,33,16
249,33,64
130,137,115
130,137,295
233,33,16
233,33,64
233,33,80
385,130,259
385,130,289
167,3,136
243,425,3
9,161,227
391,289,137
451,129,33
451,129,34
451,129,64
451,129,256
451,129,320
289,145,105
41,43,151
225,137,38
225,137,50
133,0,0
133,0,3
133,0,33
107,141,3
35,152,41
256,0,0
256,0,3
256,0,9
256,0,33
256,0,129
80,137,295
151,43,9
203,419,385
395,0,0
155,33,16
155,33,64
155,33,80
425,211,33
425,211,289
181,123,41
3,129,361
3,129,481
151,265,130
233,49,40
129,299,151
129,299,159
167,137,34
145,11,157
17,43,157
271,159,41
183,9,0
183,9,4
183,9,16
41,189,59
41,189,107
11,303,143
11,303,155
37,137,98
37,137,290
38,9,7
38,9,11
38,9,19
38,9,20
38,9,34
38,9,37
38,9,41
38,9,49
38,9,131
38,9,139
38,9,161
38,9,169
259,131,169
259,131,297
259,131,393
259,131,417
259,131,425
133,299,151
133,299,155
129,363,183
393,39,11
25,179,361
291,131,392
291,131,393
165,107,145
165,107,153
47,11,260
91,37,10
10,5,43
10,5,139
161,139,271
105,129,34
105,129,259
105,129,320
159,41,16
38,0,0
38,0,9
38,0,129
259,136,35
161,0,0
161,0,3
161,0,9
289,203,167
289,203,421
3,143,271
3,143,303
259,385,195
265,34,137
195,289,145
291,136,3
291,136,33
301,137,34
9,37,91
91,173,3
91,173,11
91,173,19
91,173,35
91,173,67
35,143,271
241,489,131
3,429,219
45,51,137
45,51,201
35,457,163
193,34,137
138,168,115
489,33,16
399,3,0
399,3,4
399,3,256
97,241,169
97,241,233
99,136,3
99,136,33
265,43,151
265,43,181
140,11,39
201,51,41
59,189,11
59,189,41
47,25,40
153,33,80
45,19,265
233,243,41
233,243,161
161,161,75
429,139,3
257,3,143
257,3,173
121,19,137
49,161,115
152,41,51
169,50,9
27,45,11
27,45,19
27,45,25
27,45,27
161,201,39
161,201,51
161,201,99
161,201,291
41,153,39
41,153,51
41,153,99
41,153,291
19,395,391
49,73,165
13,35,152
13,35,200
20,43,157
138,257,131
138,257,163
161,43,31
481,203,37
395,259,130
419,393,3
20,3,395
20,3,425
153,51,41
301,155,33
301,155,35
301,155,37
301,155,41
301,155,289
107,129,64
107,129,256
107,129,320
393,0,0
152,0,0
152,0,3
152,0,33
135,11,41
135,11,45
457,35,136
331,131,260
189,33,64
355,265,131
51,0,0
19,43,157
301,3,4
301,3,129
301,3,136
301,3,256
301,3,260
201,183,43
168,115,169
41,139,391
299,9,20
135,331,161
49,123,173
137,167,331
19,265,135
137,419,451
73,139,295
259,423,203
233,0,0
51,9,20
189,3,256
297,137,38
297,137,50
19,161,115
155,289,130
135,10,5
33,11,143
75,39,137
75,39,141
385,195,417
393,131,290
393,131,291
131,395,391
35,200,161
27,9,20
27,9,34
27,9,37
193,289,147
417,67,133
201,161,98
201,161,99
168,97,177
168,97,225
42,13,15
42,13,27
43,137,34
43,137,38
43,137,50
43,137,98
43,137,290
265,151,43
265,151,299
181,11,260
13,139,295
63,43,129
233,97,160
73,181,43
73,181,107
80,33,91
80,33,121
80,33,139
80,33,155
80,33,169
80,33,185
80,33,203
80,33,211
80,33,233
80,33,241
227,489,131
227,489,161
121,161,320
160,137,115
160,137,295
217,259,131
457,167,11
7,271,139
7,271,143
173,35,136
138,7,15
138,7,267
451,385,130
162,129,67
162,129,97
162,129,259
162,129,289
55,3,13
55,3,133
131,425,211
64,9,63
64,9,183
75,173,19
75,173,51
43,31,13
227,385,130
289,243,233
271,7,10
165,91,41
133,34,137
481,193,160
135,393,35
135,393,99
11,135,267
179,33,136
165,331,131
259,43,157
151,9,4
151,9,16
151,9,20
151,9,33
151,9,34
161,243,233
161,243,425
105,177,41
105,177,73
105,177,97
105,177,105
141,51,41
64,0,0
64,0,3
64,0,9
64,0,33
64,0,129
161,80,41
203,0,0
43,20,9
11,47,31
73,167,331
73,167,395
259,387,387
133,43,31
133,43,61
121,179,265
129,259,391
185,33,16
185,33,64
185,33,80
397,49,41
131,169,121
423,395,3
99,153,41
179,201,33
40,129,227
40,129,331
40,129,419
40,129,451
40,129,481
45,91,161
161,105,177
129,0,0
129,0,3
129,0,9
129,0,33
129,0,129
40,16,41
97,193,417
145,34,137
193,227,425
193,227,481
49,233,227
49,233,241
16,41,123
16,41,159
16,41,189
16,41,243
201,99,161
419,459,131
419,459,161
130,33,91
130,33,121
130,33,185
130,33,233
130,33,241
59,141,3
99,201,161
417,130,257
49,0,0
49,0,9
49,0,129
7,11,45
7,11,141
7,11,165
7,11,169
7,11,173
131,299,151
203,161,320
25,47,31
25,47,143
7,395,391
7,395,419
265,179,233
265,179,361
161,98,137
57,49,73
3,173,91
3,173,123
47,129,320
67,136,35
143,39,9
115,33,136
168,138,295
7,169,121
7,169,241
75,161,161
75,161,225
121,189,11
123,161,64
361,161,80
34,9,31
34,9,61
34,9,151
34,9,181
73,34,137
271,131,320
57,121,161
49,57,57
